-49,-1066,1753,26,-28,-57,3919
-55,-1058,1765,24,-31,-57,3928
-49,-1054,1762,24,-30,-56,3937
-49,-1056,1754,24,-29,-55,3946
-54,-1067,1758,22,-29,-55,3956
-52,-1060,1753,21,-27,-55,3965
-56,-1065,1757,21,-28,-56,3974
-48,-1064,1757,27,-34,-60,3984
-57,-1055,1758,24,-31,-57,3993
-67,-1065,1763,23,-28,-53,4003
-43,-1063,1755,21,-27,-54,4012
-54,-1057,1758,21,-27,-54,4021
-59,-1068,1758,21,-28,-54,4030
-50,-1065,1755,22,-30,-54,4039
-59,-1059,1765,21,-29,-54,4049
-62,-1062,1763,21,-26,-54,4058
-56,-1058,1764,21,-29,-54,4068
-53,-1067,1757,21,-28,-54,4077
-59,-1061,1774,18,-28,-54,4086
-61,-1062,1761,17,-29,-55,4095
-57,-1055,1759,17,-26,-55,4105
-65,-1068,1749,17,-24,-55,4114
-57,-1062,1756,13,-25,-54,4123
-52,-1070,1752,16,-27,-54,4133
-62,-1064,1761,18,-27,-55,4142
-49,-1063,1750,20,-29,-57,4151
-56,-1057,1763,21,-29,-58,4160
-58,-1056,1764,22,-31,-57,4170
-55,-1056,1768,19,-31,-58,4179
-53,-1067,1760,21,-30,-57,4188
-55,-1058,1772,22,-30,-56,4198
-54,-1058,1755,20,-28,-56,4207
-52,-1069,1761,18,-28,-56,4216
-56,-1063,1762,21,-28,-56,4225
-55,-1069,1759,22,-28,-56,4235
-44,-1064,1752,25,-28,-56,4244
-62,-1065,1766,25,-28,-56,4253
-50,-1065,1763,24,-30,-55,4263
-63,-1060,1756,27,-30,-58,4272
-55,-1062,1744,30,-32,-59,4281
-43,-1066,1760,29,-31,-58,4290
-45,-1066,1753,28,-29,-57,4300
-50,-1068,1761,29,-30,-56,4309
-57,-1067,1751,29,-32,-56,4318
-58,-1073,1757,30,-33,-59,4328
-47,-1070,1757,30,-35,-59,4337
-46,-1068,1756,32,-34,-60,4346
-57,-1063,1760,33,-34,-59,4355
-50,-1069,1761,33,-34,-60,4365
-50,-1064,1771,34,-36,-61,4374
-46,-1066,1755,34,-35,-60,4383
-58,-1058,1749,36,-32,-60,4393
-44,-1061,1779,38,-35,-61,4402
-48,-1060,1756,37,-36,-60,4411
-65,-1067,1766,37,-33,-59,4420
-52,-1063,1762,37,-32,-58,4430
-44,-1061,1759,38,-37,-61,4439
-54,-1049,1766,39,-35,-63,4448
-47,-1072,1768,37,-37,-62,4458
-49,-1058,1760,37,-36,-61,4467
-36,-1062,1778,35,-33,-61,4476
-47,-1059,1755,34,-33,-59,4485
-51,-1058,1751,34,-34,-59,4495
-50,-1060,1753,33,-34,-58,4504
-36,-1061,1781,33,-35,-57,4514
-51,-1054,1752,34,-32,-57,4523
-50,-1058,1758,35,-33,-57,4532
-48,-1058,1755,35,-36,-58,4541
-52,-1055,1759,36,-36,-58,4551
-49,-1057,1762,34,-34,-58,4563
-44,-1068,1778,35,-32,-57,4569
-50,-1065,1769,38,-40,-60,4579
-50,-1056,1762,40,-38,-60,4588
-58,-1058,1764,41,-36,-59,4597
-46,-1064,1760,43,-39,-60,4606
-46,-1057,1770,43,-39,-62,4616
-46,-1064,1774,42,-40,-63,4625
-45,-1058,1770,44,-40,-61,4634
-35,-1059,1774,41,-36,-60,4644
-40,-1059,1767,40,-36,-58,4653
-41,-1053,1766,39,-34,-58,4662
-42,-1064,1776,37,-35,-58,4671
-52,-1054,1756,39,-38,-58,4681
-46,-1060,1772,40,-35,-58,4690
-43,-1060,1775,42,-39,-61,4699
-38,-1054,1778,45,-36,-60,4708
-43,-1067,1777,44,-39,-62,4718
-52,-1053,1762,50,-42,-66,4727
-48,-1058,1752,51,-41,-65,4736
-45,-1055,1766,51,-42,-63,4746
-32,-1051,1781,51,-43,-64,4755
-40,-1058,1769,50,-42,-64,4764
-35,-1055,1778,52,-42,-63,4773
-31,-1048,1776,50,-44,-62,4783
-34,-1051,1754,48,-40,-61,4792
-42,-1051,1767,46,-38,-60,4802
-30,-1046,1775,44,-38,-59,4811
-39,-1043,1757,41,-36,-58,4820
-35,-1046,1768,36,-32,-58,4829
-32,-1047,1775,35,-33,-56,4839
-35,-1052,1782,34,-33,-56,4848
-32,-1050,1774,35,-31,-55,4857
-38,-1055,1768,34,-33,-57,4867
-48,-1052,1761,37,-36,-61,4876
-42,-1057,1777,36,-35,-59,4885
-33,-1042,1761,33,-33,-56,4894
-37,-1049,1770,31,-31,-55,4904
-29,-1045,1767,28,-32,-55,4913
-41,-1056,1783,27,-29,-54,4922
-40,-1054,1770,27,-28,-54,4932
-35,-1049,1767,27,-30,-54,4941
-35,-1055,1765,26,-28,-55,4950
-38,-1051,1765,24,-26,-54,4959
-33,-1051,1771,24,-29,-54,4969
-40,-1050,1775,25,-29,-53,4978
-34,-1052,1765,24,-28,-54,4987
-32,-1055,1777,25,-29,-54,4997
-35,-1046,1778,24,-26,-53,5006
-28,-1044,1771,23,-26,-52,5015
-38,-1045,1766,21,-25,-50,5025
-42,-1059,1773,21,-26,-51,5034
-34,-1048,1767,22,-26,-55,5043
-33,-1051,1776,22,-27,-54,5052
-49,-1048,1772,22,-27,-54,5062
-35,-1049,1778,22,-28,-53,5071
-37,-1052,1775,22,-25,-53,5080
-33,-1050,1768,20,-22,-52,5089
-42,-1060,1769,20,-24,-53,5099
-41,-1056,1764,21,-23,-53,5108
-39,-1052,1779,19,-24,-52,5117
-34,-1052,1776,20,-24,-53,5127
-42,-1052,1766,18,-23,-52,5136
-30,-1050,1774,18,-24,-53,5145
-36,-1052,1773,19,-24,-53,5155
-33,-1057,1780,16,-23,-52,5164
-53,-1048,1778,17,-24,-52,5173
-40,-1055,1768,19,-26,-53,5182
-35,-1051,1777,23,-27,-55,5192
-34,-1048,1772,23,-27,-55,5201
-39,-1051,1773,24,-27,-56,5211
-39,-1062,1776,23,-27,-55,5219
-35,-1047,1770,24,-29,-57,5229
-42,-1057,1766,24,-28,-56,5238
-38,-1051,1778,24,-27,-57,5248
-38,-1051,1777,24,-28,-58,5257
-39,-1058,1775,22,-28,-56,5266
-33,-1057,1784,23,-29,-56,5275
-43,-1053,1757,24,-30,-57,5285
-36,-1051,1769,26,-29,-57,5294
-31,-1046,1779,24,-30,-57,5303
-31,-1050,1773,26,-30,-59,5313
-32,-1047,1773,31,-32,-60,5322
-38,-1055,1772,27,-31,-59,5331
-41,-1056,1773,26,-31,-57,5341
-41,-1051,1758,27,-31,-57,5350
-31,-1045,1770,27,-28,-57,5359
-34,-1052,1776,25,-28,-58,5368
-41,-1050,1766,23,-30,-57,5378
-30,-1051,1774,22,-29,-58,5387
-43,-1059,1774,25,-28,-59,5396
-34,-1048,1774,26,-28,-58,5405
-33,-1049,1780,26,-30,-59,5415
-30,-1052,1778,26,-29,-59,5424
-37,-1051,1781,26,-30,-58,5433
-32,-1046,1772,27,-30,-57,5443
-31,-1049,1763,25,-29,-56,5452
-35,-1050,1773,25,-30,-57,5461
-38,-1051,1771,26,-29,-59,5471
-31,-1056,1782,26,-32,-58,5480
-31,-1049,1783,26,-29,-56,5489
-31,-1051,1773,26,-29,-56,5498
-34,-1051,1781,26,-30,-55,5508
-46,-1049,1776,27,-30,-56,5517
-38,-1054,1777,27,-30,-57,5527
-36,-1051,1780,30,-32,-57,5536
-31,-1050,1776,29,-32,-57,5545
-33,-1052,1776,30,-31,-56,5554
-44,-1055,1770,30,-33,-56,5563
-34,-1046,1778,29,-33,-57,5573
-27,-1045,1768,30,-32,-58,5582
-35,-1051,1780,29,-32,-57,5591
-29,-1051,1771,29,-33,-57,5601
-33,-1052,1782,29,-33,-58,5610
-42,-1070,1771,34,-36,-62,5619
-38,-1056,1789,33,-33,-60,5628
-32,-1053,1769,32,-35,-57,5638
-27,-1048,1770,34,-32,-57,5647
-40,-1050,1775,36,-35,-58,5657
-32,-1046,1776,35,-34,-57,5666
-30,-1050,1765,35,-33,-58,5675
-34,-1048,1778,36,-35,-59,5684
-33,-1045,1776,37,-34,-58,5694
-32,-1047,1780,39,-36,-59,5703
-33,-1053,1773,38,-39,-61,5712
-44,-1055,1781,39,-35,-62,5722
-35,-1042,1773,40,-38,-60,5731
-32,-1054,1769,42,-38,-60,5740
-34,-1043,1777,43,-36,-60,5749
-29,-1043,1774,45,-42,-62,5759
-33,-1045,1770,47,-42,-64,5768
-28,-1041,1774,46,-42,-64,5777
-28,-1037,1773,46,-40,-61,5786
-32,-1042,1773,45,-40,-61,5796
-24,-1037,1781,45,-38,-60,5805
-31,-1046,1784,43,-39,-59,5814
-32,-1039,1775,43,-40,-61,5824
-32,-1036,1772,41,-42,-60,5833
-30,-1038,1771,36,-43,-59,5842
-33,-1041,1776,36,-40,-60,5851
-37,-1048,1772,35,-40,-58,5861
-25,-1037,1777,33,-41,-57,5870
-33,-1052,1786,35,-40,-58,5880
-35,-1043,1777,35,-38,-57,5889
-30,-1041,1777,32,-37,-56,5898
-23,-1040,1785,34,-37,-55,5907
-27,-1041,1778,39,-39,-57,5917
-28,-1041,1779,37,-39,-56,5926
-29,-1030,1774,37,-38,-56,5935
-30,-1041,1778,37,-36,-55,5945
-25,-1029,1771,36,-34,-56,5954
-34,-1047,1785,35,-34,-55,5963
-32,-1047,1792,33,-34,-55,5972
-21,-1043,1781,33,-33,-54,5982
-34,-1050,1788,33,-33,-55,5991
-32,-1040,1770,34,-34,-57,6000
-23,-1030,1773,35,-35,-57,6010
-20,-1030,1773,34,-34,-56,6019
-32,-1041,1770,34,-32,-56,6028
-25,-1038,1769,35,-32,-56,6037
-22,-1028,1773,36,-31,-55,6047
-28,-1029,1782,33,-31,-51,6056
-20,-1035,1766,33,-33,-51,6065
-32,-1034,1779,36,-33,-52,6075
-25,-1035,1778,36,-34,-53,6084
-28,-1028,1779,34,-32,-54,6093
-26,-1026,1783,35,-32,-53,6102
-28,-1029,1775,34,-34,-53,6112
-29,-1041,1779,33,-32,-55,6121
-28,-1036,1775,34,-32,-53,6131
-33,-1046,1769,33,-32,-54,6140
-23,-1029,1776,33,-33,-55,6149
-28,-1031,1775,34,-32,-55,6158
-30,-1035,1786,33,-33,-55,6168
-24,-1032,1781,32,-35,-55,6177
-27,-1031,1776,33,-33,-55,6186
-23,-1028,1776,30,-32,-55,6195
-27,-1026,1780,32,-34,-55,6205
-25,-1030,1775,34,-36,-56,6214
-24,-1029,1783,32,-32,-55,6223
-27,-1031,1776,31,-31,-53,6232
-28,-1031,1771,29,-31,-54,6242
-21,-1022,1777,31,-30,-54,6251
-19,-1034,1784,29,-28,-53,6261
-21,-1033,1785,27,-28,-54,6270
-19,-1025,1774,24,-28,-52,6279
-26,-1034,1786,23,-27,-52,6288
-24,-1040,1790,22,-25,-50,6298
-30,-1038,1788,24,-26,-50,6307
-29,-1032,1778,23,-26,-51,6316
-29,-1030,1763,24,-27,-51,6326
-24,-1027,1779,23,-26,-51,6335
-27,-1027,1779,22,-25,-51,6344
-25,-1031,1781,22,-26,-51,6353
-25,-1038,1786,23,-26,-54,6363
-28,-1030,1784,22,-25,-52,6372
-23,-1028,1775,21,-24,-49,6381
-27,-1030,1782,21,-23,-50,6391
-23,-1022,1774,19,-24,-50,6400
-23,-1032,1774,17,-24,-50,6409
-29,-1036,1782,18,-24,-50,6418
-34,-1041,1775,17,-25,-51,6428
-29,-1035,1772,18,-23,-50,6437
-36,-1048,1778,18,-25,-51,6446
-28,-1035,1782,19,-24,-52,6456
-24,-1022,1771,20,-25,-51,6465
-39,-1047,1775,20,-23,-50,6474
